disease,download_link
Nasopharyngeal_carcinoma,https://www.dropbox.com/sh/iq8jxaxqqz0t5rh/AABthrwQSc071_1c4MZdDurZa
HNSCC,https://www.dropbox.com/sh/kxqboj5gtbgvwmb/AADuxCNWgUDOsNbeeoqL_RgXa
SCLC,https://www.dropbox.com/sh/gvnodao82rce7p6/AAAFNHhOrV6Q7DrWQoZ-zn5Na
Lung_adenocarcinoma,https://www.dropbox.com/sh/xv0lzjkco5f3cju/AABDLFmu-ame_2M8UMmMH7ZVa
LungCancer_1,https://www.dropbox.com/sh/v8ff9eu5ax4cexm/AAAMUp5i1pGgP4J-h1ZG9sWca
LungCancer_2,https://www.dropbox.com/sh/j2uzppu2i2snx82/AAB3axOkZ6anwvtnV01Zy571a
LungCancer_3,https://www.dropbox.com/sh/4babmjk6d0s8aze/AAACZk6B2dXsOSEKqvJ_Mnzga
LungCancer_4,https://www.dropbox.com/sh/w8caaxb9rdorrpz/AADZnb47tuj-XixoqAPea-02a
HCC_iCCA,https://www.dropbox.com/sh/fnt6nibsy5yajmk/AAC1B_uSRaO7B0GRy7lJDFUDa
HCC,https://www.dropbox.com/sh/1w3fyu4zx0eryrb/AADZX_sdwnHeqJOoX1fN3cWqa
RCC_1,https://www.dropbox.com/sh/bfiw9rj6fkihzxe/AADss2USMM7tBdoCE9PFtHpoa
RCC_2,https://www.dropbox.com/sh/0ebmsx11928pmsu/AAA1LqTAJ0p3RmsWdZzdPhaxa
ccRCC,https://www.dropbox.com/sh/dp3jmmt91g7frwk/AABNOXYcSaIk86fiEEMyqG-Ba
RCC_3,https://www.dropbox.com/sh/b7frn5iu34qou01/AACzevxvOwmqcPsE5TdFLuWUa
Prostate_1,https://www.dropbox.com/sh/ok9hxn1aw4jetyy/AAC-BgaJFbt7_Z6Eegq1n3Fsa
Prostate_2,https://www.dropbox.com/sh/c6g077y2blqwd3e/AACUsvIsGf6PQ-dd33YxovaHa
Synovial_sarcoma,https://www.dropbox.com/sh/5cx7xomfdhritco/AADu_EBhB_Mvmp16XNLKN8mRa
Osteosarcoma,https://www.dropbox.com/sh/qm5mtqhk538jtsh/AAA82b-it-VXD13wE717ZI_La
Ewing_sarcoma,https://www.dropbox.com/sh/i7kicodrhm7jl08/AACAyvqkfdH4NPu9xQKrvXP_a
Pituitary_neoendocrine,https://www.dropbox.com/sh/6ra6p8yshrngc8a/AABFL61EcYoKFsxQS_PExL8Sa
Lung_5,https://www.dropbox.com/sh/6m8e7s1ldzpyt9b/AAAjBU_uc3JMRJ-XMld5Ia3Aa
ALL,https://www.dropbox.com/sh/2cs1unvjz72gglr/AAAdgdm4BROI-_ENmpvJWcfba
IPMN,https://www.dropbox.com/sh/s7cwqbvelul3fy9/AABKkCdkxlqk9JRLt7BYl11Oa
PDAC_1,https://www.dropbox.com/sh/the5nlzknx1n8jy/AACPxgmAGFSe5qKg7KfbNNM2a
NeuroBlastoma_1,https://www.dropbox.com/sh/sco5dftu85vlmo2/AABq6gr58weAAykL_I13hvata
PDAC_2,https://www.dropbox.com/sh/the5nlzknx1n8jy/AACPxgmAGFSe5qKg7KfbNNM2a
CRC,https://www.dropbox.com/sh/vld19l2k8fe7jwn/AABSI-ae_TwBlOhL3AxZj2hXa
NeuroBlastoma_2,https://www.dropbox.com/sh/s5adw16uezoveq8/AADvQsA3hCbTILNT4LKBg_V6a
Prostate_3,https://www.dropbox.com/sh/u71b6i3iu2lv9bq/AABdSibSYu1CFodrIQdiidqDa
ESCC,https://www.dropbox.com/sh/40s5o2bu0a6qawc/AABORF9nCPNkVOJPWuunGHnMa
PDAC_7,https://www.dropbox.com/sh/ya2twritmjed3j0/AACUW19Xb6UWHH8Jg6Uzdkuca
GBM_1,https://www.dropbox.com/sh/nawybn8s4e6y2qp/AACiz0V-mjEy-kJ4OpUSNj3Ka
GBM_2,https://www.dropbox.com/sh/txbl7oda3uqm0dd/AADN1G75GPkwtb19OUo_iLFWa
H3-K27M,https://www.dropbox.com/sh/r62bhujrzcgx973/AACeAaROjaTtW5sqVL1uf_iQa
Ependynoma,https://www.dropbox.com/sh/fb0co9ky2xhkhcl/AABzZSKy0BMUL5Wlurl4S86Ua
Medulloblastoma,https://www.dropbox.com/sh/ra74gzdr2hn6o0x/AADyOyHkCZbHL5kYi6KeT5eta
GBM_3,https://www.dropbox.com/sh/7miposjtr1inqev/AADR8jFmD1KVZwucgO-c15Tga
